C�digo de mesa;Provincia;C�digo municipio;Municipio;Distrito;Secci�n;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;N� Votos
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;PP;154
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;PSOE;55
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;TC-PNC;2
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;IU-CyL;2
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;FE;1
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;FA;0
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;IR;0
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;PH;0
05-001-1-001-U;AVILA;001;ADANERO;1;001;U;267;130;175;226;8;4;IZ.CA;0
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;PP;328
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;PSOE;282
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;IU-CyL;15
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;IZ.CA;4
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;PH;3
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;TC-PNC;2
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;IR;1
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;FE;1
05-002-1-001-A;AVILA;002;LA ADRADA;1;001;A;822;345;536;654;4;14;FA;0
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;PSOE;340
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;PP;337
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;IU-CyL;14
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;IZ.CA;3
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;PH;1
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;FA;1
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;TC-PNC;1
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;IR;0
05-002-1-001-B;AVILA;002;LA ADRADA;1;001;B;858;419;592;715;8;10;FE;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;PP;130
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;PSOE;44
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;IU-CyL;6
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;PH;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;FA;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;IZ.CA;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;IR;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;TC-PNC;0
05-005-1-001-U;AVILA;005;ALBORNOS;1;001;U;220;98;161;186;1;5;FE;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;PP;106
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;PSOE;7
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;IU-CyL;1
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;TC-PNC;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;IR;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;FA;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;PH;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;IZ.CA;0
05-007-1-001-U;AVILA;007;ALDEANUEVA DE SANTA CRUZ;1;001;U;154;72;118;121;3;4;FE;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;PP;153
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;PSOE;99
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;IU-CyL;3
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;IR;1
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;TC-PNC;1
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;FE;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;IZ.CA;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;FA;0
05-008-1-001-U;AVILA;008;ALDEASECA;1;001;U;288;84;217;261;1;3;PH;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;PP;137
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;PSOE;38
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;FA;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;TC-PNC;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;IR;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;IZ.CA;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;FE;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;PH;0
05-010-1-001-U;AVILA;010;LA ALDEHUELA;1;001;U;226;116;147;178;1;2;IU-CyL;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;PP;91
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;PSOE;59
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;IU-CyL;2
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;FE;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;TC-PNC;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;FA;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;IZ.CA;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;IR;0
05-012-1-001-U;AVILA;012;AMAVIDA;1;001;U;168;89;135;155;1;2;PH;0
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;PSOE;381
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;PP;367
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;IU-CyL;18
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;TC-PNC;2
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;IR;1
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;FE;0
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;FA;0
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;IZ.CA;0
05-013-1-001-U;AVILA;013;EL ARENAL;1;001;U;890;528;685;791;7;15;PH;0
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;PP;383
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;PSOE;170
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;IU-CyL;26
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;FE;1
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;PH;1
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;IZ.CA;1
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;FA;0
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;IR;0
05-014-1-001-A;AVILA;014;ARENAS DE SAN PEDRO;1;001;A;791;382;505;599;7;10;TC-PNC;0
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;PP;365
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;PSOE;163
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;IU-CyL;35
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;IR;4
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;FA;3
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;IZ.CA;2
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;PH;0
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;TC-PNC;0
05-014-1-001-B;AVILA;014;ARENAS DE SAN PEDRO;1;001;B;801;345;480;595;10;13;FE;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;PP;267
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;PSOE;180
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;IU-CyL;25
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;IR;3
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;FA;1
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;IZ.CA;1
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;TC-PNC;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;PH;0
05-014-2-001-U;AVILA;014;ARENAS DE SAN PEDRO;2;001;U;638;304;400;486;4;5;FE;0
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;PP;340
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;PSOE;317
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;IU-CyL;38
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;IR;2
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;PH;1
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;IZ.CA;1
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;FA;0
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;FE;0
05-014-3-001-U;AVILA;014;ARENAS DE SAN PEDRO;3;001;U;911;351;553;707;5;3;TC-PNC;0
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;PP;268
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;PSOE;237
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;IU-CyL;39
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;TC-PNC;1
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;FE;1
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;PH;1
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;IR;1
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;IZ.CA;0
05-014-1-002-U;AVILA;014;ARENAS DE SAN PEDRO;1;002;U;736;389;486;554;3;3;FA;0
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;PP;341
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;PSOE;206
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;IU-CyL;36
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;TC-PNC;4
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;FE;2
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;IZ.CA;1
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;FA;1
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;PH;0
05-014-2-002-A;AVILA;014;ARENAS DE SAN PEDRO;2;002;A;778;372;506;603;1;11;IR;0
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;PP;369
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;PSOE;188
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;IU-CyL;29
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;PH;3
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;TC-PNC;2
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;IR;2
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;FE;2
05-014-2-002-B;AVILA;014;ARENAS DE SAN PEDRO;2;002;B;793;393;516;612;7;10;FA;0
